Type [validation category](max length)                TableName.ColumnName
string?                                               Budget.BudgetIdExternal
string?                                               Budget.AssignmentIdExternal
string?                                               Budget.BudgetScenarioIdExternal
string?                                               Budget.FromProjectPeriodIdExternal
string?                                               Budget.ProjectIdExternal
string?                                               Budget.ServiceContractIdExternal
string?                                               Budget.ToProjectPeriodIdExternal
int?                                                  Budget.AssignmentId
int                                                   Budget.BudgetScenarioId
string? [MultilineText](200)                          Budget.Comment
string [MultilineText](200)                           Budget.Description
int?                                                  Budget.FromProjectPeriodId
int?                                                  Budget.ProjectId
int?                                                  Budget.ServiceContractId
bool                                                  Budget.Sys_Deactivated
bool                                                  Budget.Sys_Historic
bool                                                  Budget.Sys_Incomplete
int?                                                  Budget.ToProjectPeriodId
bool                                                  Budget.Ext_Sys_Deactivated
string                                                Budget.Ext_ExternalId
string                                                Budget.Ext_In_Error_MsgNO
string                                                Budget.Ext_In_Error_MsgEN
string                                                Budget.Ext_In_Error_TraceId
string                                                Budget.Ext_In_Error_TechDetail
string                                                Budget.Ext_In_Error_FixLink
bool                                                  Budget.Ext_In_Error_SetOK
DateTime                                              Budget.Ext_In_LastSyncUTC
string                                                Budget.Ext_Out_Error_MsgNO
string                                                Budget.Ext_Out_Error_MsgEN
string                                                Budget.Ext_Out_Error_TraceId
string                                                Budget.Ext_Out_Error_TechDetail
string                                                Budget.Ext_Out_Error_FixLink
bool                                                  Budget.Ext_Out_Error_SetOK
DateTime                                              Budget.Ext_Out_LastSyncUTC
--> ExternalSystemBudget[]                            Budget.ExternalSystemBudgets
int                                                   BudgetLine.BudgetLineId
string?                                               BudgetLine.BudgetLineIdExternal
string?                                               BudgetLine.BudgetIdExternal
string?                                               BudgetLine.ProjectAccountIdExternal
string?                                               BudgetLine.WageCodeReportCategoryIdExternal
int                                                   BudgetLine.BudgetId
decimal?                                              BudgetLine.BudgetValue
string? [MultilineText](200)                          BudgetLine.Comment
int?                                                  BudgetLine.ProjectAccountId
bool                                                  BudgetLine.Sys_Deactivated
bool                                                  BudgetLine.Sys_Historic
bool                                                  BudgetLine.Sys_Incomplete
int?                                                  BudgetLine.WageCodeReportCategoryId
bool                                                  BudgetLine.Ext_Sys_Deactivated
string                                                BudgetLine.Ext_ExternalId
string                                                BudgetLine.Ext_In_Error_MsgNO
string                                                BudgetLine.Ext_In_Error_MsgEN
string                                                BudgetLine.Ext_In_Error_TraceId
string                                                BudgetLine.Ext_In_Error_TechDetail
string                                                BudgetLine.Ext_In_Error_FixLink
bool                                                  BudgetLine.Ext_In_Error_SetOK
DateTime                                              BudgetLine.Ext_In_LastSyncUTC
string                                                BudgetLine.Ext_Out_Error_MsgNO
string                                                BudgetLine.Ext_Out_Error_MsgEN
string                                                BudgetLine.Ext_Out_Error_TraceId
string                                                BudgetLine.Ext_Out_Error_TechDetail
string                                                BudgetLine.Ext_Out_Error_FixLink
bool                                                  BudgetLine.Ext_Out_Error_SetOK
DateTime                                              BudgetLine.Ext_Out_LastSyncUTC
--> BudgetLinePeriod[]                                BudgetLine.BudgetLinePeriods
--> ExternalSystemBudgetLine[]                        BudgetLine.ExternalSystemBudgetLines
int                                                   BudgetLinePeriod.BudgetLinePeriodId
string?                                               BudgetLinePeriod.BudgetLinePeriodIdExternal
string?                                               BudgetLinePeriod.BudgetLineIdExternal
string?                                               BudgetLinePeriod.ProjectPeriodIdExternal
decimal?                                              BudgetLinePeriod.BudgetValue
string? [MultilineText](200)                          BudgetLinePeriod.Comment
int                                                   BudgetLinePeriod.ProjectPeriodId
bool                                                  BudgetLinePeriod.Sys_Deactivated
bool                                                  BudgetLinePeriod.Sys_Historic
bool                                                  BudgetLinePeriod.Sys_Incomplete
bool                                                  BudgetLinePeriod.Ext_Sys_Deactivated
string                                                BudgetLinePeriod.Ext_ExternalId
string                                                BudgetLinePeriod.Ext_In_Error_MsgNO
string                                                BudgetLinePeriod.Ext_In_Error_MsgEN
string                                                BudgetLinePeriod.Ext_In_Error_TraceId
string                                                BudgetLinePeriod.Ext_In_Error_TechDetail
string                                                BudgetLinePeriod.Ext_In_Error_FixLink
bool                                                  BudgetLinePeriod.Ext_In_Error_SetOK
DateTime                                              BudgetLinePeriod.Ext_In_LastSyncUTC
string                                                BudgetLinePeriod.Ext_Out_Error_MsgNO
string                                                BudgetLinePeriod.Ext_Out_Error_MsgEN
string                                                BudgetLinePeriod.Ext_Out_Error_TraceId
string                                                BudgetLinePeriod.Ext_Out_Error_TechDetail
string                                                BudgetLinePeriod.Ext_Out_Error_FixLink
bool                                                  BudgetLinePeriod.Ext_Out_Error_SetOK
DateTime                                              BudgetLinePeriod.Ext_Out_LastSyncUTC
